run_id,tier_id,seed,budget_index,budget,timing_repetitions,cold_seconds,warm_seconds,speedup_cold_over_warm,cold_objective,warm_objective,objective_difference,consistency_tolerance,cold_iterations,warm_iterations,cold_initial_scenarios,warm_initial_scenarios,cold_final_scenarios,warm_final_scenarios,cold_master_seconds,warm_master_seconds,cold_oracle_seconds,warm_oracle_seconds,cold_peak_memory_mb,warm_peak_memory_mb,cold_lower_bound,warm_lower_bound,cold_upper_bound,warm_upper_bound,cold_gap,warm_gap,cold_master_solve_count,warm_master_solve_count,cold_recourse_lp_solve_count,warm_recourse_lp_solve_count,warm_reused_scenario_count,warm_scenario_reuse_rate,training_scenario_count
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072401,V2,2026072401,1,1353.3536929340091,3,3.975549700000556,4.0106539000007615,0.9912472626969386,14887.267031710016,14887.267031710016,0.0,0.0014987267031710016,3,3,3,3,5,5,0.09806319999552215,0.10445310000068275,3.053356700002041,3.0791705999981787,75.84375,75.97265625,14887.26703171002,14887.26703171002,14887.267031710016,14887.267031710016,-3.637978807091713e-12,-3.637978807091713e-12,3,3,300,300,1,0.3333333333333333,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072401,V2,2026072401,2,1599.4180007401926,3,3.9612845000010566,1.9024924999976065,2.0821551201941877,9762.855834951699,9762.855834951699,0.0,0.0009862855834951699,3,1,3,5,5,5,0.1052836999988358,0.0503621000025305,3.0624662000009266,1.042614300000423,76.11328125,74.73046875,9762.855834951697,9762.855834951697,9762.855834951699,9762.855834951699,1.8189894035458565e-12,1.8189894035458565e-12,3,1,300,100,3,0.6,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072402,V2,2026072402,0,1107.2893851278257,3,1.896211499999481,1.8414610999971046,1.0297320426711498,24673.34048769904,24673.34048769904,0.0,0.002477334048769904,1,1,4,4,4,4,0.044768900002964074,0.04639599999791244,1.0206873999995878,0.9892604999986361,76.24609375,74.55859375,24673.34048769904,24673.34048769904,24673.34048769904,24673.34048769904,0.0,0.0,1,1,100,100,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072402,V2,2026072402,1,1353.3536929340091,3,1.8383805000012217,1.8450224000007438,0.9964000979069308,19528.224924237802,19528.224924237802,0.0,0.00196282249242378,1,1,4,4,4,4,0.04764169999907608,0.04555579999941983,1.0117639999989478,0.9924522000001161,74.53515625,75.37890625,19528.224924237802,19528.224924237802,19528.224924237802,19528.224924237802,0.0,0.0,1,1,100,100,1,0.25,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072402,V2,2026072402,2,1599.4180007401926,3,1.8569946999996318,1.850914599999669,1.0032849165488045,14402.550941395868,14402.550941395868,0.0,0.0014502550941395867,1,1,4,4,4,4,0.044253600000956794,0.04929899999842746,1.009390799998073,0.9878445999966061,74.546875,74.5703125,14402.550941395868,14402.550941395868,14402.550941395868,14402.550941395868,0.0,0.0,1,1,100,100,1,0.25,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072403,V2,2026072403,0,1107.2893851278257,3,1.902200200001971,1.8488500999992539,1.0288558277400308,34657.38841210053,34657.38841210053,0.0,0.003475738841210053,1,1,3,3,3,3,0.04081239999868558,0.042039200001454446,1.0627803999996104,1.001499000001786,74.01953125,74.31640625,34657.38841210053,34657.38841210053,34657.38841210053,34657.38841210053,0.0,0.0,1,1,100,100,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072403,V2,2026072403,1,1353.3536929340091,3,1.8990101999988838,1.843910200001119,1.0298821493572363,29480.737663672786,29480.737663672786,0.0,0.0029580737663672785,1,1,3,3,3,3,0.04602619999786839,0.04535119999854942,1.0514570000013919,0.9748214999999618,74.0546875,74.59375,29480.737663672782,29480.737663672782,29480.737663672786,29480.737663672786,3.637978807091713e-12,3.637978807091713e-12,1,1,100,100,1,0.3333333333333333,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072403,V2,2026072403,2,1599.4180007401926,3,1.9018225999971037,1.8910852000008163,1.0056779038809478,24344.250838026765,24344.250838026765,0.0,0.0024444250838026762,1,1,3,3,3,3,0.046881000002031215,0.04048440000042319,1.040965199998027,1.018704300000536,74.40625,75.5,24344.250838026765,24344.250838026765,24344.250838026765,24344.250838026765,0.0,0.0,1,1,100,100,1,0.3333333333333333,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072404,V2,2026072404,0,1107.2893851278257,3,1.8565153000017744,1.8391014000008,1.0094687003125369,27211.34741188877,27211.34741188877,0.0,0.0027311347411888773,1,1,3,3,3,3,0.04661180000039167,0.043900499997107545,1.000951600002736,0.9943036000004213,75.671875,75.65625,27211.347411888768,27211.347411888768,27211.34741188877,27211.34741188877,3.637978807091713e-12,3.637978807091713e-12,1,1,100,100,0,0.0,100
m0e3_formal_v1_20260823_M0_E3_V2_seed2026072404,V2,2026072404,1,1353.3536929340091,3,2.944546300001093,2.9535993999998027,0.9969348923897025,22032.638755577602,22032.638755577602,0.0,0.00221326387555776,2,2,3,3,4,4,0.07371290000082809,0.0853004999953555,2.0429712000004656,2.0711164999956964,75.59765625,75.390625,22032.6387555776,22032.6387555776,22032.638755577602,22032.638755577602,3.637978807091713e-12,3.637978807091713e-12,2,2,200,200,1,0.3333333333333333,100
